"Part","Value","Footprint","References","Quantity Per PCB","Farnell Nr","Datasheet"
"C","100n","C_0603_1608Metric","C1 C2","2","","~"
"D","1N4148","D_MiniMELF","D2","1","","~"
"BAV99","BAV99","SOT-23","D1","1","","https://assets.nexperia.com/documents/data-sheet/BAV99_SER.pdf"
"R","R","R_0603_1608Metric","R1 R2","2","","~"
"R","100k","R_0603_1608Metric","R4","1","","~"
"R_Variable","R_Variable","R_0603_1608Metric","R3","1","","~"
"LM358","LM358","SOIC-8_3.9x4.9mm_P1.27mm","U1","1","","http://www.ti.com/lit/ds/symlink/lm2904-n.pdf"
"Crystal","Piezo","SolderWire-0.1sqmm_1x02_P3.6mm_D0.4mm_OD1mm_Relief","Y1","1","","~"
