"Part","Value","Footprint","References","Quantity Per PCB","Farnell Nr","Datasheet"
"USB_C_Receptacle_USB2.0","USB_C_Receptacle_USB2.0","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal","J1","1","","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"R","5k1","R_0603_1608Metric","R1 R2","2","","~"
